state,year,district,block,block_no,gram_panchayat,gp_no,ward_no,seat_no,seat_id_raw,seat_from_image,tier,tier_local,reservation,caste_reservation,woman_reserved,winner,vacant,reservation_raw,script,source_path,source_page,source_pdf
Jharkhand,2015,Jamtara,नारायणपुर,1,रूपडीह –,1,1,,XIII जामताड़ा/1/1/रूपडीह – (1),,gp_ward,ward_member,ST Woman,ST,1,सावित्री टुडू,0,अनुसूचित जन जाति | महिला,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,17,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,नारायणपुर,1,रूपडीह –,1,2,,XIII जामताड़ा/1/1/रूपडीह – (2),,gp_ward,ward_member,Woman,NONE,1,सकीना बीबी,0,अनारक्षित | महिला,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,17,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,नारायणपुर,1,रूपडीह –,1,3,,XIII जामताड़ा/1/1/रूपडीह – (3),,gp_ward,ward_member,ST Woman,ST,1,सोनामुनी हाँसदा,0,अनुसूचित जन जाति | महिला,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,17,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,नारायणपुर,1,रूपडीह –,1,4,,XIII जामताड़ा/1/1/रूपडीह – (4),,gp_ward,ward_member,ST Woman,ST,1,चुड़की देवी,0,अनुसूचित जन जाति | महिला,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,17,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,नारायणपुर,1,रूपडीह –,1,5,,XIII जामताड़ा/1/1/रूपडीह – (5),,gp_ward,ward_member,Other than Woman,NONE,0,रहीमा खातुन,0,अनारक्षित | अन्य,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,17,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,नारायणपुर,1,रूपडीह –,1,6,,XIII जामताड़ा/1/1/रूपडीह – (6),,gp_ward,ward_member,ST Other than Woman,ST,0,चाँद मराण्डी,0,अनुसूचित जन जाति | अन्य,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,17,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,नारायणपुर,1,रूपडीह –,1,7,,XIII जामताड़ा/1/1/रूपडीह – (7),,gp_ward,ward_member,ST Other than Woman,ST,0,बैद्यनाथ सोरेन,0,अनुसूचित जन जाति | अन्य,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,17,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,नारायणपुर,1,रूपडीह –,1,8,,XIII जामताड़ा/1/1/रूपडीह – (8),,gp_ward,ward_member,Woman,NONE,1,अनीता देवी,0,अनारक्षित | महिला,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,17,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,नारायणपुर,1,रूपडीह –,1,9,,XIII जामताड़ा/1/1/रूपडीह – (9),,gp_ward,ward_member,Other than Woman,NONE,0,माखन सिंह,0,अनारक्षित | अन्य,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,17,JAMTARA ZP MUKHIYA PSS GPS.pdf
Jharkhand,2015,Jamtara,नारायणपुर,1,रूपडीह –,1,11,,XIII जामताड़ा/1/1/रूपडीह – (11),,gp_ward,ward_member,SC Other than Woman,SC,0,शनिचर दास,0,अनुसूचित जाति | अन्य,devanagari,data/jharkhand/2015/13. JAMTARA MUKHIYA PSS/JAMTARA ZP MUKHIYA PSS GPS.pdf,17,JAMTARA ZP MUKHIYA PSS GPS.pdf
