state,year,district,block,block_no,gram_panchayat,gp_no,ward_no,seat_no,seat_id_raw,seat_from_image,tier,tier_local,reservation,caste_reservation,woman_reserved,winner,vacant,reservation_raw,script,source_path,source_page,source_pdf
Jharkhand,2015,Garhwa,खरौंधी,01,,,,01,I x<+ok@01@[kjkSa/kh& ¼01½,,block_member,panchayat_samiti,Woman,NONE,1,Kkuefr nsoh,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,खरौंधी,01,,,,02,I x<+ok@01@[kjkSa/kh& ¼02½,,block_member,panchayat_samiti,ST Other than Woman,ST,0,lEHkq mjkao,0,vuqlwfpr tutkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,खरौंधी,01,,,,03,I x<+ok@01@[kjkSa/kh& ¼03½,,block_member,panchayat_samiti,SC Woman,SC,1,jhek nsoh,0,vuqlwfpr tkfr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,खरौंधी,01,,,,04,I x<+ok@01@[kjkSa/kh& ¼04½,,block_member,panchayat_samiti,Other than Woman,NONE,0,iIiq izlkn xqIrk,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,खरौंधी,01,,,,05,I x<+ok@01@[kjkSa/kh& ¼05½,,block_member,panchayat_samiti,SC Woman,SC,1,mjoarh nsoh,0,vuqlwfpr tkfr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,खरौंधी,01,,,,06,I x<+ok@01@[kjkSa/kh& ¼06½,,block_member,panchayat_samiti,SC Other than Woman,SC,0,/keZjkt ikloku,0,vuqlwfpr tkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,खरौंधी,01,,,,07,I x<+ok@01@[kjkSa/kh& ¼07½,,block_member,panchayat_samiti,Woman,NONE,1,eerk nsoh,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,खरौंधी,01,,,,08,I x<+ok@01@[kjkSa/kh& ¼08½,,block_member,panchayat_samiti,Woman,NONE,1,jhek dqekjh,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,खरौंधी,01,,,,09,I x<+ok@01@[kjkSa/kh& ¼09½,,block_member,panchayat_samiti,Other than Woman,NONE,0,fot; dqekj esgrk,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,खरौंधी,01,,,,10,I x<+ok@01@[kjkSa/kh& ¼10½,,block_member,panchayat_samiti,BC Other than Woman,BC,0,xksj[kukFk pkS/kjh,0,vU; fiNM+k oxZ | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,केतार,02,,,,01,I x<+ok@02@dsrkj & ¼01½,,block_member,panchayat_samiti,ST Other than Woman,ST,0,eq[kyky flag,0,vuqlwfpr tutkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
