dataset_id,row_id,seat_key,seat_key_unique,state,year,district,block,gram_panchayat,gp_term,ward_no,ward_name,tier,tier_local,caste_reservation,caste_reservation_local,caste_scheme,woman_reserved,reservation,reservation_raw,listing_scope,unit_of_observation,seat_candidates,winner,winner_basis,votes,vacant,unopposed,script,source_repo,source_commit,source_path,source_page,provenance_level,quality_flags
jharkhand/block_member/2015,f879c6b0c831,Jharkhand|2015|block_member|Garhwa|खरौंधी|||01,1,Jharkhand,2015,Garhwa,खरौंधी,,,,,block_member,panchayat_samiti,NONE,NONE,sc_st_bc,1,Woman,vukjf{kr | efgyk,all_seats,seat,,Kkuefr nsoh,,,0,,devanagari,local_elections,6a2a17d89f8f-dirty,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,page,name_untransliterated
jharkhand/block_member/2015,f879c6b0c831,Jharkhand|2015|block_member|Garhwa|खरौंधी|||02,1,Jharkhand,2015,Garhwa,खरौंधी,,,,,block_member,panchayat_samiti,ST,ST,sc_st_bc,0,ST Other than Woman,vuqlwfpr tutkfr | vU;,all_seats,seat,,lEHkq mjkao,,,0,,devanagari,local_elections,6a2a17d89f8f-dirty,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,page,name_untransliterated
jharkhand/block_member/2015,f879c6b0c831,Jharkhand|2015|block_member|Garhwa|खरौंधी|||03,1,Jharkhand,2015,Garhwa,खरौंधी,,,,,block_member,panchayat_samiti,SC,SC,sc_st_bc,1,SC Woman,vuqlwfpr tkfr | efgyk,all_seats,seat,,jhek nsoh,,,0,,devanagari,local_elections,6a2a17d89f8f-dirty,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,page,name_untransliterated
jharkhand/block_member/2015,f879c6b0c831,Jharkhand|2015|block_member|Garhwa|खरौंधी|||04,1,Jharkhand,2015,Garhwa,खरौंधी,,,,,block_member,panchayat_samiti,NONE,NONE,sc_st_bc,0,Other than Woman,vukjf{kr | vU;,all_seats,seat,,iIiq izlkn xqIrk,,,0,,devanagari,local_elections,6a2a17d89f8f-dirty,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,page,name_untransliterated
jharkhand/block_member/2015,f879c6b0c831,Jharkhand|2015|block_member|Garhwa|खरौंधी|||05,1,Jharkhand,2015,Garhwa,खरौंधी,,,,,block_member,panchayat_samiti,SC,SC,sc_st_bc,1,SC Woman,vuqlwfpr tkfr | efgyk,all_seats,seat,,mjoarh nsoh,,,0,,devanagari,local_elections,6a2a17d89f8f-dirty,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,page,name_untransliterated
jharkhand/block_member/2015,f879c6b0c831,Jharkhand|2015|block_member|Garhwa|खरौंधी|||06,1,Jharkhand,2015,Garhwa,खरौंधी,,,,,block_member,panchayat_samiti,SC,SC,sc_st_bc,0,SC Other than Woman,vuqlwfpr tkfr | vU;,all_seats,seat,,/keZjkt ikloku,,,0,,devanagari,local_elections,6a2a17d89f8f-dirty,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,page,name_untransliterated
jharkhand/block_member/2015,f879c6b0c831,Jharkhand|2015|block_member|Garhwa|खरौंधी|||07,1,Jharkhand,2015,Garhwa,खरौंधी,,,,,block_member,panchayat_samiti,NONE,NONE,sc_st_bc,1,Woman,vukjf{kr | efgyk,all_seats,seat,,eerk nsoh,,,0,,devanagari,local_elections,6a2a17d89f8f-dirty,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,page,name_untransliterated
jharkhand/block_member/2015,f879c6b0c831,Jharkhand|2015|block_member|Garhwa|खरौंधी|||08,1,Jharkhand,2015,Garhwa,खरौंधी,,,,,block_member,panchayat_samiti,NONE,NONE,sc_st_bc,1,Woman,vukjf{kr | efgyk,all_seats,seat,,jhek dqekjh,,,0,,devanagari,local_elections,6a2a17d89f8f-dirty,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,page,name_untransliterated
jharkhand/block_member/2015,f879c6b0c831,Jharkhand|2015|block_member|Garhwa|खरौंधी|||09,1,Jharkhand,2015,Garhwa,खरौंधी,,,,,block_member,panchayat_samiti,NONE,NONE,sc_st_bc,0,Other than Woman,vukjf{kr | vU;,all_seats,seat,,fot; dqekj esgrk,,,0,,devanagari,local_elections,6a2a17d89f8f-dirty,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,page,name_untransliterated
jharkhand/block_member/2015,f879c6b0c831,Jharkhand|2015|block_member|Garhwa|खरौंधी|||10,1,Jharkhand,2015,Garhwa,खरौंधी,,,,,block_member,panchayat_samiti,BC,BC,sc_st_bc,0,BC Other than Woman,vU; fiNM+k oxZ | vU;,all_seats,seat,,xksj[kukFk pkS/kjh,,,0,,devanagari,local_elections,6a2a17d89f8f-dirty,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,page,name_untransliterated
jharkhand/block_member/2015,aabb001ffff8,Jharkhand|2015|block_member|Garhwa|केतार|||01,1,Jharkhand,2015,Garhwa,केतार,,,,,block_member,panchayat_samiti,ST,ST,sc_st_bc,0,ST Other than Woman,vuqlwfpr tutkfr | vU;,all_seats,seat,,eq[kyky flag,,,0,,devanagari,local_elections,6a2a17d89f8f-dirty,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,page,name_untransliterated
jharkhand/block_member/2015,aabb001ffff8,Jharkhand|2015|block_member|Garhwa|केतार|||02,1,Jharkhand,2015,Garhwa,केतार,,,,,block_member,panchayat_samiti,NONE,NONE,sc_st_bc,1,Woman,vukjf{kr | efgyk,all_seats,seat,,js'kek nsoh,,,0,,devanagari,local_elections,6a2a17d89f8f-dirty,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,page,name_untransliterated
jharkhand/block_member/2015,aabb001ffff8,Jharkhand|2015|block_member|Garhwa|केतार|||03,1,Jharkhand,2015,Garhwa,केतार,,,,,block_member,panchayat_samiti,NONE,NONE,sc_st_bc,0,Other than Woman,vukjf{kr | vU;,all_seats,seat,,eukst lko,,,0,,devanagari,local_elections,6a2a17d89f8f-dirty,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,page,name_untransliterated
jharkhand/block_member/2015,aabb001ffff8,Jharkhand|2015|block_member|Garhwa|केतार|||04,1,Jharkhand,2015,Garhwa,केतार,,,,,block_member,panchayat_samiti,NONE,NONE,sc_st_bc,1,Woman,vukjf{kr | efgyk,all_seats,seat,,dkS'kY;k nsoh,,,0,,devanagari,local_elections,6a2a17d89f8f-dirty,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,page,name_untransliterated
